year,country_code,country_name,SE.XPD.TOTL.GD.ZS,SE.XPD.CUR.TOTL.ZS,UIS.XSPENDP.FDPUB.FNS,SE.PRM.ENRL.TC.ZS,SE.SEC.ENRL.TC.ZS,UIS.PTRHC.56,UIS.TRTP.0,SE.PRM.TCAQ.ZS,UIS.TRTP.2,SE.SEC.TCAQ.ZS,UIS.TRTP.4,UIS.THDUR.0,SE.PRM.DURS,SE.SEC.DURS.LO,SE.SEC.DURS.UP,UIS.THDUR.4.A.GPV,SE.COM.DURS,IT.NET.USER.P2,IT.CMP.PCMP.P2,SP.URB.TOTL.IN.ZS,NY.GDP.PCAP.KD,IT.CEL.SETS.P2
1971,HPC,Heavily indebted poor countries (HIPC),,,,38.965301513671896,24.780950546264602,,,,,,,,,,,,,,,16.683500609245698,655.2220852042396,
1971,SSA,Sub-Saharan Africa (excluding high income),,,,36.6263008117676,,,,,,,,,,,,,,,,18.4162996254525,1269.2785530208173,
1971,EAP,East Asia & Pacific (excluding high income),,,,29.6860008239746,21.3985900878906,,,,,,,,,,,,,,,18.8079324788688,301.3858983886197,
1971,LAC,Latin America & Caribbean (excluding high income),,,,31.900690078735398,13.587909698486301,,,,,,,,,,,,,,,54.043193867914106,3782.2912497890406,
1971,MNA,Middle East & North Africa (excluding high income),,,,32.9048690795898,24.0394401550293,,,,,,,,,,,,,,,41.5787791318528,2232.2022131844737,
1971,GRL,Greenland,,,,,,,,,,,,,,,,,,,,73.433,21447.190429648126,
1971,CSS,Caribbean small states,,,,,,,,,,,,,,,,,,,,34.529208306489004,6202.604528915966,
1971,EAS,East Asia & Pacific (all income levels),,,,29.8891792297363,21.076190948486303,,,,,,,,,,,,,,,24.9211984463622,2424.412109043728,
1971,EAP,East Asia & Pacific (developing only),,,,29.6860008239746,21.3985900878906,,,,,,,,,,,,,,,18.8079324788688,301.3858983886197,
1971,ECS,Europe & Central Asia (all income levels),,,,21.6096897125244,,,,,,,,,,,,,,,,61.247686716713886,13512.463210254604,
1971,OEC,High income: OECD,,,,,,,,,,,,,,,,,,,,69.6374580370485,22512.517771995626,
1971,LCN,Latin America & Caribbean (all income levels),,,,31.8180103302002,14.302490234375,,,,,,,,,,,,,,,57.797948075166104,4367.556719134165,
1971,LAC,Latin America & Caribbean (developing only),,,,31.900690078735398,13.587909698486301,,,,,,,,,,,,,,,54.043193867914106,3782.2912497890406,
1971,MEA,Middle East & North Africa (all income levels),,,,30.9894905090332,21.801870346069304,,,,,,,,,,,,,,,43.3809654301332,3651.5696876133325,
1971,MNA,Middle East & North Africa (developing only),,,,32.9048690795898,24.0394401550293,,,,,,,,,,,,,,,41.5787791318528,2232.2022131844737,
1971,SSF,Sub-Saharan Africa (all income levels),,,,36.620269775390604,,,,,,,,,,,,,,,,18.428518342868,1268.435658437653,
1971,SSA,Sub-Saharan Africa (developing only),,,,36.6263008117676,,,,,,,,,,,,,,,,18.4162996254525,1269.2785530208173,
1971,ADO,Andorra,,,,,,,,,,,,,,,,,,,,81.78,48505.54980110777,
1971,ZAR,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,24.846999999999998,1095.440832578012,
1972,CHN,China,1.6062699556350701,,,27.3777809143066,23.0033302307129,,,,,,,4.0,5.0,2.0,2.0,,,,,17.184,208.72696476170978,
1972,CAN,Canada,7.63405990600586,,,,,,,,,,,2.0,6.0,3.0,3.0,,,,,75.971,27413.74345889244,
1972,KEN,Kenya,4.47633981704712,,,,,,,,,,,3.0,6.0,3.0,4.0,,,,,11.282,656.2046226424208,
1972,SYC,Seychelles,4.24694013595581,,,24.6308097839355,20.8071403503418,,,,,,,2.0,6.0,3.0,4.0,,,,,41.802,6649.074348115567,
1972,PRI,Puerto Rico,7.21458005905151,,,,25.9247894287109,,,,,,,2.0,6.0,,,,,,,60.126999999999995,12953.578819092594,
1972,GHA,Ghana,4.621399879455571,,,,,6.10664987564087,,,,,,2.0,6.0,4.0,3.0,,,,,29.392,665.3055421928113,
1972,NER,Niger,,,,37.4441413879395,20.768230438232397,,,,,,,2.0,6.0,4.0,3.0,,,,,9.772,604.8931364189839,
1972,FRA,France,3.34821009635925,,,,15.4971599578857,,,,,,,3.0,5.0,4.0,3.0,,,,,71.86,25767.050139759653,
1972,GRC,Greece,,,,30.8742599487305,25.402420043945302,22.979450225830103,,,,,,2.0,6.0,3.0,3.0,,,,,65.454,17555.548674873527,
1972,ZMB,Zambia,5.94578981399536,,,47.169551849365206,,,,,,,,4.0,7.0,3.0,2.0,,,,,32.146,1374.4635849989645,
1972,AUT,Austria,4.4608998298645,,,21.5388202667236,,8.70034027099609,,,,,,3.0,4.0,4.0,4.0,,,,,65.311,25402.645270085548,
1972,IRL,Ireland,4.61233997344971,,,,,11.552639961242699,,,,,,2.0,6.0,3.0,2.0,,,,,52.611000000000004,17700.072778536603,
1972,LSO,Lesotho,4.5265097618103,,,44.818088531494105,19.5429706573486,,,,,,,3.0,7.0,3.0,2.0,,,,,9.474,368.5758179780055,
1972,CMR,Cameroon,3.3599400520324703,,,48.5479888916016,22.1589202880859,12.384889602661099,,,,,,2.0,6.0,4.0,3.0,,,,,22.927,944.2180940431496,
1972,PRY,Paraguay,,,,31.1854190826416,9.08790016174316,7.46276998519897,,,,,,3.0,6.0,3.0,3.0,,,,,37.396,1060.899820497822,
1972,NIC,Nicaragua,,,,37.5586700439453,31.8810005187988,19.2009201049805,,,,,,4.0,6.0,3.0,2.0,,,,,48.016999999999996,2436.0459207950694,
1972,COG,"Congo, Rep.",,,,64.195686340332,35.3199005126953,11.067159652710002,,,,,,3.0,6.0,4.0,3.0,,,,,40.715,1644.1725589900914,
1972,KOR,"Korea, Rep.",3.07499003410339,,,55.972171783447294,36.474571228027294,19.6496696472168,,,,,,1.0,6.0,3.0,3.0,,,,,43.692,3051.637505375762,
